dataset,component,harmonic,cos_coeff_T,sin_coeff_T,magnitude_T
Structure2 h7,Br_T,7,-0.007474004341433415,-1.5461029701558764e-17,0.007474004341433415
Structure2 h7,Br_T,8,-0.005711299760907841,6.6261555863823264e-18,0.005711299760907841
Structure2 h7,Br_T,9,-0.00450698630607976,2.6504622345529306e-17,0.00450698630607976
Structure2 h7,Br_T,10,-0.0036480378550330633,5.632232248424977e-17,0.0036480378550330633
Structure2 h7,Br_T,11,-0.0030139689345100424,-7.730514850779381e-17,0.0030139689345100424
Structure2 h7,Br_T,12,-0.002532578909433211,-5.5217963219852725e-17,0.002532578909433211
Structure2 h7,Br_T,13,-0.0021584825595476823,-4.969616689786745e-17,0.0021584825595476823
Structure2 h7,Br_T,14,-0.0018619918002734264,1.115402857041025e-16,0.0018619918002734264
Structure2 h7,Br_T,15,-0.0016230236881400663,-1.0601848938211722e-16,0.0016230236881400663
Structure2 h7,Br_T,16,-0.0014275980825914315,2.0982826023544036e-17,0.0014275980825914315
Structure2 h7,Br_T,17,-0.0012657395972261983,8.834874115176436e-18,0.0012657395972261983
Structure2 h7,Br_T,18,-0.0011301753983883225,8.393130409417614e-17,0.0011301753983883225
Structure2 h7,Br_T,19,-0.0010155016227219994,-1.1485336349729365e-16,0.0010155016227219994
Structure2 h7,Br_T,20,-0.000917635115080508,5.190488542666156e-17,0.000917635115080508
Structure2 h7,Br_T,21,-0.0008334440771950083,1.1043592643970545e-16,0.0008334440771950083
Structure2 h7,Br_T,22,-0.0007604938726072512,2.5400263081132252e-17,0.0007604938726072512
Structure2 h7,Br_T,23,-0.0006968687020854929,4.417437057588218e-18,0.0006968687020854929
Structure2 h7,Br_T,24,-0.0006410443252640121,-5.742668174864683e-17,0.0006410443252640121
Structure2 h7,Br_T,25,-0.0005917957832905076,-8.834874115176436e-17,0.0005917957832905076
Structure2 h7,Br_T,26,-0.0005481295370248586,-2.8602904947883713e-16,0.0005481295370248586
