fit_kind,apply_s1_correction,theta_offset_deg,structure2_scale,structure1_scale,structure1_condition,solver_scaling,Br_L2_left,Bt_L2_left,Br_L2_middle,Bt_L2_middle,Br_L2_right,Bt_L2_right,Br_L2_edge,Bt_L2_edge,Br_L2_all,Bt_L2_all,Br_rms,Bt_rms
edge_BrBt_kS1,False,-70.0,1.0,0.01565760759483523,854207.4949590549,rowcol,0.3765582362966137,0.6228103017457697,0.02040778718147339,1.3505591195267215,0.37034491811732845,0.6164599934777195,0.37346173493253154,0.6196281331030349,0.13912823663086518,0.6277172830784233,0.5362449703616085,0.027250935466932406
all_BrBt_kS1,False,-70.0,1.0,-0.0021936296664513476,854207.4949590549,rowcol,0.3732003154109893,0.6228321019274118,0.020206146814266947,1.3454999102454583,0.3737544919028562,0.6167992351074022,0.37347775296454927,0.6198086161790577,0.13910866927955248,0.6278180853689418,0.5357369681861432,0.027245486805939835
edge_BrBt_cS2_kS1,False,-70.0,0.8116871543678214,0.026332281852703907,854207.4949590549,rowcol,0.3010372266424893,0.6270071862704023,0.1887278139934031,1.0329342523937342,0.2970473275838381,0.6224432573908619,0.29904715648889785,0.624718501601521,0.20723773730740735,0.628501722214152,0.43565235230559063,0.022123507208159067
all_BrBt_cS2_kS1,False,-70.0,0.959111025318534,0.1436360937571263,854207.4949590549,rowcol,0.3724388212144543,0.6200740644789386,0.04078400423213207,1.3267906299793153,0.3219880810271419,0.611830894320372,0.3481061838747943,0.6159466036823926,0.13394676493091,0.6237516973716315,0.5180410170118179,0.026180678468687175
edge_Br_only_kS1,False,-68.0,1.0,0.004757518714324846,854207.4949590549,rowcol,0.3745108504541327,0.6228380159832089,0.02026332032339915,1.3468815102706087,0.37243102735376904,0.6167215914719898,0.3734714615063117,0.6197727572184867,0.1391135522681799,0.6278036895998246,0.5359076352020339,0.027246760845855346
edge_BrBt_kS1,False,-68.0,1.0,0.005592022996234027,854207.4949590549,rowcol,0.37466865503398245,0.6228395233268786,0.02027137588863009,1.3470219388750595,0.372272663392438,0.6167152876157129,0.37347151480714036,0.6197703596406248,0.13911458551295616,0.6278034502865691,0.5359266572709334,0.02724686948587449
all_BrBt_kS1,False,-68.0,1.0,-0.00580675844066195,854207.4949590549,rowcol,0.3725165941356393,0.6228189348373603,0.020187975576585707,1.345186664476618,0.37443922765115956,0.6168014110793417,0.37348000334685755,0.6198031200005715,0.13910721327220765,0.6278079941041367,0.5356672484317258,0.027245415009874333
edge_BrBt_cS2_kS1,False,-68.0,0.811747221647645,0.005362336961219724,854207.4949590549,rowcol,0.2993492368580857,0.6270477569035575,0.1900329226013964,1.0265087682099954,0.2988399480041446,0.6229470299661218,0.2990944742791238,0.6249909737289825,0.20827464937480247,0.6286969242648547,0.435055740821112,0.022117678122057394
all_BrBt_cS2_kS1,False,-68.0,0.962409224349919,0.10155004810958947,854207.4949590549,rowcol,0.36702471959120886,0.6205720520479602,0.04050423120156421,1.3032876683586228,0.33114437146837483,0.6139595416355373,0.3495292924553526,0.6172588763322071,0.1343775141663179,0.6246919514758994,0.5180065086976527,0.026237528628712606
edge_Br_only_kS1,False,-66.0,1.0,-0.00438015892528202,854207.4949590549,rowcol,0.37278215980593665,0.6228138121387955,0.02020155238865135,1.34579230682283,0.37415879235045324,0.616754972720021,0.3734717227502799,0.6197773418392404,0.13910588774224247,0.627791817687533,0.5357245906533109,0.027246043784612557
edge_BrBt_kS1,False,-66.0,1.0,-0.0049815940924992155,854207.4949590549,rowcol,0.3726683059072374,0.6228116686619926,0.020199236641228243,1.3457522660685253,0.37427204657600216,0.6167546212037345,0.37347175048630027,0.6197760942537905,0.13910560740429356,0.6277899932565232,0.5357143458208022,0.02724603020920991
all_BrBt_kS1,False,-66.0,1.0,-0.009278504005251216,854207.4949590549,rowcol,0.3718554895026652,0.6227963547828443,0.020187377229091544,1.3454809699529484,0.3750817973972625,0.6167521106028059,0.3734735625231578,0.6197671814157074,0.1391047829441575,0.6277771814458033,0.5356412303082845,0.02724593837892068
