objective,Br_L2,Bt_L2,alpha_deg,lambda_drop,lambda_b_gain,width_scale,edge_width_deg,edge_bt_gain
0.3283840025950489,0.09417655570704053,0.23420744688800837,52.25,0.32,0.14,1.1,11.5,0.09999999999999999
0.3284143540883003,0.07486987891313202,0.25354447517516826,52.75,0.30000000000000004,0.14,1.0,11.0,0.07999999999999999
0.3284722655958189,0.09933751656193107,0.2291347490338878,52.25,0.32,0.14,1.0,12.0,0.09999999999999999
0.3284851139807933,0.10108201076483112,0.22523908168629997,52.0,0.32,0.14,1.1,11.5,0.09999999999999999
0.3285834773649358,0.07969738561079148,0.24888609175414433,52.75,0.34,0.14,1.0,11.5,0.09999999999999999
0.3285935732851937,0.09639822612359583,0.23219534716159781,52.0,0.28,0.14,1.0,11.0,0.07999999999999999
0.32859814496708073,0.09301502009906837,0.23558312486801236,52.5,0.30000000000000004,0.14,1.0,12.0,0.06
0.3285990376864073,0.09435464069233701,0.2342443969940703,52.25,0.30000000000000004,0.14,1.1,11.5,0.07999999999999999
0.3285991885137338,0.08744272839830024,0.2411564601154336,52.75,0.28,0.14,1.0,12.0,0.06
0.3286072999827171,0.07977468151722267,0.24883261846549445,53.0,0.30000000000000004,0.14,1.0,12.0,0.06
0.32864097780147994,0.08146617318227417,0.24717480461920577,52.5,0.30000000000000004,0.14,1.0,11.0,0.09999999999999999
0.3286606736300841,0.09517109005006766,0.23348958358001648,52.25,0.28,0.14,1.1,11.5,0.09999999999999999
0.3287048876092968,0.10131891383571451,0.2247481461021533,52.0,0.30000000000000004,0.14,1.1,11.5,0.09999999999999999
0.3287575506326426,0.0924941602254593,0.2362633904071833,52.5,0.32,0.14,1.0,12.0,0.06
0.3287738578612752,0.081451869481998,0.24732198837927724,52.5,0.34,0.14,1.0,11.0,0.09999999999999999
0.3288221902345389,0.09417655570704053,0.23464563452749837,52.25,0.32,0.14,1.1,11.5,0.07999999999999999
0.3288647984892617,0.07933612625803094,0.24952867223123076,53.0,0.32,0.14,1.0,12.0,0.06
0.3289593259400069,0.07506903986205236,0.2538902860779545,52.75,0.34,0.14,1.0,11.0,0.07999999999999999
0.32907796421563545,0.09101995404173223,0.2380580101739032,52.25,0.26,0.14,1.0,11.0,0.09999999999999999
0.32917804060616973,0.09413808503647639,0.23503995556969337,52.5,0.28,0.14,1.0,12.0,0.06
0.3291794535199951,0.09517109005006766,0.23400836346992748,52.25,0.28,0.14,1.1,11.5,0.07999999999999999
0.32921047532756653,0.08093543966552366,0.24827503566204284,53.0,0.28,0.14,1.0,12.0,0.06
0.3292537367074087,0.08602214649763684,0.24323159020977186,52.75,0.34,0.14,1.0,12.0,0.06
0.32932356776255356,0.0875603928151345,0.24176317494741903,52.5,0.30000000000000004,0.14,1.1,11.5,0.07999999999999999
0.32941220879157274,0.10254961473011447,0.22176336460122936,51.75,0.30000000000000004,0.14,1.0,11.0,0.09999999999999999
0.329418085576163,0.09101995404173223,0.23839813153443076,52.25,0.26,0.14,1.0,11.0,0.07999999999999999
0.32953290879724173,0.0946655935057572,0.2348673152914845,52.25,0.34,0.14,1.1,11.5,0.09999999999999999
0.32953635362489087,0.07594242055002445,0.25359393307486644,52.75,0.28,0.14,1.0,11.0,0.07999999999999999
0.32960903279249115,0.08745448734119964,0.2421545454512915,52.5,0.32,0.14,1.1,11.5,0.07999999999999999
0.32969170526656055,0.09260740881834567,0.23708429644821485,52.5,0.34,0.14,1.0,12.0,0.06
0.3298133458990039,0.0842510546793902,0.24556229121961373,52.5,0.26,0.14,1.0,11.0,0.07999999999999999
0.3298831961345966,0.0946655935057572,0.2352176026288394,52.25,0.34,0.14,1.1,11.5,0.07999999999999999
0.32989556086825383,0.08253527018925723,0.24736029067899662,52.5,0.28,0.14,1.0,11.0,0.09999999999999999
0.32990032405961345,0.0993717177014538,0.23052860635815967,52.25,0.34,0.14,1.0,12.0,0.09999999999999999
0.32990186937894833,0.08836448818190255,0.24153738119704576,52.5,0.28,0.14,1.1,11.5,0.07999999999999999
0.3299065036993155,0.10098624158392736,0.22694777894753349,52.25,0.28,0.14,1.0,12.0,0.09999999999999999
0.3299352942452043,0.08919700748832812,0.24073828675687617,52.75,0.26,0.14,1.0,12.0,0.06
0.32995854550866294,0.0939217961334924,0.23603674937517052,52.5,0.30000000000000004,0.14,1.1,12.0,0.07999999999999999
0.3300044839082036,0.09658600152224026,0.2334184823859633,52.25,0.26,0.14,1.1,11.5,0.09999999999999999
0.33000535151839144,0.08262790115466824,0.2473774503637232,52.75,0.26,0.14,1.0,11.5,0.09999999999999999
0.330024469274639,0.07965765722875852,0.2503668120458805,53.0,0.34,0.14,1.0,12.0,0.06
