case,field_csv,current_angle_deg,current_rms_a,torque_sector_Nm,torque_total_Nm
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,47.5,17.6,-1.17161647643558,-7.0296988586134805
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,50.0,17.6,-1.0801792338652458,-6.4810754031914755
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,52.5,17.6,-0.9866858087298738,-5.920114852379243
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,55.0,17.6,-0.8913141710780301,-5.34788502646818
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,57.5,17.6,-0.7942458662425536,-4.765475197455322
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,60.0,17.6,-0.6956656692587003,-4.173994015552202
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,62.5,17.6,-0.5957612331343612,-3.5745673988061677
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,65.0,17.6,-0.49472273164189606,-2.9683363898513764
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,67.5,17.6,-0.3927424973115482,-2.3564549838692894
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,70.0,17.6,-0.290014655315544,-1.7400879318932638
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,72.5,17.6,-0.18673475393979083,-1.120408523638745
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,75.0,17.6,-0.08309939234660368,-0.4985963540796221
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,77.5,17.6,0.020694153662975584,0.1241649219778535
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,80.0,17.6,0.12444830717487856,0.7466898430492714
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,82.5,17.6,0.2279655662608947,1.3677933975653682
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,85.0,17.6,0.33104887993481874,1.9862932796089123
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,87.5,17.6,0.4335020232501975,2.6010121395011847
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,90.0,17.6,0.5351299708256749,3.2107798249540496
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,92.5,17.6,0.6357392680868866,3.81443560852132
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,95.0,17.6,0.7351383995182382,4.41083039710943
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,97.5,17.6,0.8331381532235702,4.998828919341421
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,100.0,17.6,0.9295519811017643,5.577311886610586
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,102.5,17.6,1.0241963539516503,6.145178123709902
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,105.0,17.6,1.1168911108302744,6.701346664981646
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,107.5,17.6,1.2074598019994915,7.244758811996949
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,110.0,17.6,1.2957300248080743,7.774380148848445
